model_id,horizon_days,mean_crps
Dom_LM_Secchi,1,0.26080338578588375
Dom_LM_Secchi,7,0.3660258084748167
Dom_LM_Secchi,8,0.3744944268715463
Dom_LM_Secchi,14,0.3480470847791005
Dom_LM_Secchi,15,0.3118809210965331
Dom_LM_Secchi,21,0.37924143595388143
Dom_LM_Secchi,22,0.3602648012172738
Dom_LM_Secchi,28,0.3788053284865739
Dom_LM_Secchi,29,0.41875370402614437
Dom_RF_Secchi,1,0.31351164065209847
Dom_RF_Secchi,7,0.47210895622615306
Dom_RF_Secchi,8,0.4319326199560648
Dom_RF_Secchi,14,0.4745758847728059
Dom_RF_Secchi,15,0.5041152219909815
Dom_RF_Secchi,21,0.5124046913660536
Dom_RF_Secchi,22,0.5714146180194243
Dom_RF_Secchi,28,0.5406982000935013
Dom_RF_Secchi,29,0.5411407947450572
climatology,1,0.12715406574908306
climatology,7,0.5532055575830194
climatology,8,0.15597248274149678
climatology,14,0.5820556371340277
climatology,15,0.15595737834096116
climatology,21,0.5848785747930892
climatology,22,0.1576132525601443
climatology,28,0.5304781875406688
climatology,29,0.1520020726546913
climatology,35,0.6021988634119179
climatology,36,0.16361566527304242
persistenceRW,1,0.562186025114444
persistenceRW,7,0.5539743219602575
persistenceRW,8,0.636655668628941
persistenceRW,14,0.6553529583799249
persistenceRW,15,0.636655668628941
persistenceRW,21,0.7251921558359137
persistenceRW,22,0.771360676134906
persistenceRW,28,0.8018072780583757
persistenceRW,29,0.7815030643632114
